country,iso3,year,gdp_per_capita_usd,yearly_diff,yearly_pct_change
Estonia,EST,2022.0,28340.3826549406,389.22,1.39
Estonia,EST,2023.0,30264.0064885057,1923.62,6.79
Estonia,EST,2024.0,31428.3547816104,1164.35,3.85
Finland,FIN,2020.0,48828.6846862799,,
Finland,FIN,2021.0,53099.1351400148,4270.45,8.75
Finland,FIN,2022.0,50440.560224974,-2658.57,-5.01
Finland,FIN,2023.0,52834.2916752703,2393.73,4.75
Finland,FIN,2024.0,53149.7671934051,315.48,0.6
France,FRA,2020.0,39169.8606000707,,
France,FRA,2021.0,43725.0999521245,4555.24,11.63
France,FRA,2022.0,40988.6396406579,-2736.46,-6.26
France,FRA,2023.0,44700.1384177544,3711.5,9.05
France,FRA,2024.0,46103.0840855884,1402.95,3.14
Germany,DEU,2020.0,47394.8734504469,,
Germany,DEU,2021.0,52349.2459994422,4954.37,10.45
Germany,DEU,2022.0,50506.5179638543,-1842.73,-3.52
Germany,DEU,2023.0,54776.7668235491,4270.25,8.45
Germany,DEU,2024.0,56103.7323182554,1326.97,2.42
Hungary,HUN,2020.0,16386.9308821258,,
Hungary,HUN,2021.0,19030.628130329,2643.7,16.13
Hungary,HUN,2022.0,18428.028825614,-602.6,-3.17
Hungary,HUN,2023.0,22230.6277875187,3802.6,20.63
Hungary,HUN,2024.0,23292.3263882478,1061.7,4.78
Iceland,ISL,2020.0,60127.9393575616,,
Iceland,ISL,2021.0,70425.4064277273,10297.47,17.13
Iceland,ISL,2022.0,76350.4550416502,5925.05,8.41
Iceland,ISL,2023.0,82138.7892973557,5788.33,7.58
Iceland,ISL,2024.0,86040.5309851288,3901.74,4.75
Ireland,IRL,2020.0,86514.0706108754,,
Ireland,IRL,2021.0,103783.446284479,17269.38,19.96
Ireland,IRL,2022.0,105190.685952731,1407.24,1.36
Ireland,IRL,2023.0,106818.917130804,1628.23,1.55
Ireland,IRL,2024.0,112894.953240805,6076.04,5.69
Israel,ISR,2020.0,44575.5719045492,,
Israel,ISR,2021.0,52270.9040241956,7695.33,17.26
Israel,ISR,2022.0,54949.621556429,2678.72,5.12
Israel,ISR,2023.0,52003.7200729997,-2945.9,-5.36
Israel,ISR,2024.0,54176.6844383302,2172.96,4.18
Italy,ITA,2020.0,32091.4866621366,,
Italy,ITA,2021.0,36852.5425414951,4761.06,14.84
Italy,ITA,2022.0,35653.9042103495,-1198.64,-3.25
Italy,ITA,2023.0,39277.0838783918,3623.18,10.16
Italy,ITA,2024.0,40385.3413957669,1108.26,2.82
Japan,JPN,2020.0,40028.7341726762,,
Japan,JPN,2021.0,40094.5599795288,65.83,0.16
Japan,JPN,2022.0,34065.6438962526,-6028.92,-15.04
Japan,JPN,2023.0,33836.1756271617,-229.47,-0.67
Japan,JPN,2024.0,32487.0778047567,-1349.1,-3.99
Korea,KOR,2020.0,33645.7719545073,,
Korea,KOR,2021.0,37518.4635305697,3872.69,11.51
Korea,KOR,2022.0,34822.4048404971,-2696.06,-7.19
Korea,KOR,2023.0,35674.095995632,851.69,2.45
Korea,KOR,2024.0,36238.639908315,564.54,1.58
Latvia,LVA,2020.0,17564.2321549354,,
Latvia,LVA,2021.0,20261.8887788916,2697.66,15.36
Latvia,LVA,2022.0,20221.103686109,-40.79,-0.2
Latvia,LVA,2023.0,22710.2637544197,2489.16,12.31
Latvia,LVA,2024.0,23409.0845154775,698.82,3.08
Lithuania,LTU,2020.0,20428.6478157394,,
Lithuania,LTU,2021.0,23870.4594851722,3441.81,16.85
Lithuania,LTU,2022.0,25085.784063499,1215.32,5.09
Lithuania,LTU,2023.0,27786.0057829276,2700.22,10.76
Lithuania,LTU,2024.0,29384.0189598663,1598.01,5.75
Luxembourg,LUX,2020.0,116860.02817236,,
Luxembourg,LUX,2021.0,134965.815442152,18105.79,15.49
Luxembourg,LUX,2022.0,123719.658915996,-11246.16,-8.33
Luxembourg,LUX,2023.0,133230.619178899,9510.96,7.69
Luxembourg,LUX,2024.0,137781.681659123,4551.06,3.42
Mexico,MEX,2020.0,8841.27075039868,,
Mexico,MEX,2021.0,10314.0506722115,1472.78,16.66
Mexico,MEX,2022.0,11405.7940473759,1091.74,10.59
Mexico,MEX,2023.0,13860.9597809326,2455.17,21.53
Mexico,MEX,2024.0,14185.7812248529,324.82,2.34
Netherlands,NLD,2020.0,53467.9277413737,,
Netherlands,NLD,2021.0,60141.9880911492,6674.06,12.48
Netherlands,NLD,2022.0,59123.318556487,-1018.67,-1.69
Netherlands,NLD,2023.0,63515.6030780019,4392.28,7.43
Netherlands,NLD,2024.0,67520.4218956281,4004.82,6.31
New Zealand,NZL,2020.0,41997.7830324279,,
New Zealand,NZL,2021.0,49950.4251691316,7952.64,18.94
New Zealand,NZL,2022.0,49099.7090423358,-850.72,-1.7
New Zealand,NZL,2023.0,49075.9562832927,-23.75,-0.05
New Zealand,NZL,2024.0,49205.1792146792,129.22,0.26
Norway,NOR,2020.0,68340.0181033702,,
Norway,NOR,2021.0,93072.8925119571,24732.87,36.19
Norway,NOR,2022.0,109269.520580298,16196.63,17.4
Norway,NOR,2023.0,87497.2179649556,-21772.3,-19.93
Norway,NOR,2024.0,86785.4334489176,-711.78,-0.81
Poland,POL,2020.0,16150.9304813473,,
Poland,POL,2021.0,18635.5104895754,2484.58,15.38
Poland,POL,2022.0,18891.2121169279,255.7,1.37
Poland,POL,2023.0,22145.2660647429,3254.05,17.23
Poland,POL,2024.0,25103.565661423,2958.3,13.36
Portugal,PRT,2020.0,22299.4044062173,,
Portugal,PRT,2021.0,24711.4510062111,2412.05,10.82
Portugal,PRT,2022.0,24620.5197587181,-90.93,-0.37
Portugal,PRT,2023.0,27634.6183139773,3014.1,12.24
Portugal,PRT,2024.0,29292.242104753,1657.62,6.0
Slovak Republic,SVK,2020.0,19735.4858280801,,
Slovak Republic,SVK,2021.0,22123.3342114545,2387.85,12.1
Slovak Republic,SVK,2022.0,21317.7943982363,-805.54,-3.64
Slovak Republic,SVK,2023.0,24614.8734642794,3297.08,15.47
Slovak Republic,SVK,2024.0,25992.6748502048,1377.8,5.6
Slovenia,SVN,2020.0,25392.0651093612,,
Slovenia,SVN,2021.0,29192.8401933019,3800.78,14.97
Slovenia,SVN,2022.0,28360.3041467268,-832.54,-2.85
Slovenia,SVN,2023.0,32660.4753581346,4300.17,15.16
Slovenia,SVN,2024.0,34301.0318686594,1640.56,5.02
Spain,ESP,2020.0,27233.9426461608,,
Spain,ESP,2021.0,30799.4775937775,3565.53,13.09
Spain,ESP,2022.0,30319.4987196616,-479.98,-1.56
Spain,ESP,2023.0,33493.2225409111,3173.72,10.47
Spain,ESP,2024.0,35326.7683069278,1833.55,5.47
Sweden,SWE,2020.0,52568.5726980146,,
Sweden,SWE,2021.0,60647.5416365347,8078.97,15.37
Sweden,SWE,2022.0,54836.8907235124,-5810.65,-9.58
Sweden,SWE,2023.0,54950.2834725622,113.39,0.21
Sweden,SWE,2024.0,57117.4877440616,2167.2,3.94
Switzerland,CHE,2020.0,85897.7843338323,,
Switzerland,CHE,2021.0,93664.7736696111,7766.99,9.04
Switzerland,CHE,2022.0,94394.5106803525,729.74,0.78
Switzerland,CHE,2023.0,100623.549627296,6229.04,6.6
Switzerland,CHE,2024.0,103998.186685604,3374.64,3.35
Türkiye,TUR,2020.0,8798.11791709313,,
Türkiye,TUR,2021.0,9981.76398411336,1183.65,13.45
Türkiye,TUR,2022.0,10897.8397861365,916.08,9.18
Türkiye,TUR,2023.0,13375.0947282864,2477.25,22.73
Türkiye,TUR,2024.0,15892.7157287241,2517.62,18.82
United Kingdom,GBR,2020.0,40812.6794663879,,
United Kingdom,GBR,2021.0,47691.3768799404,6878.7,16.85
United Kingdom,GBR,2022.0,47057.043229179,-634.33,-1.33
United Kingdom,GBR,2023.0,49944.4702124201,2887.43,6.14
United Kingdom,GBR,2024.0,53246.3676145108,3301.9,6.61
United States,USA,2020.0,63515.9491807833,,
United States,USA,2021.0,70205.050916026,6689.1,10.53
United States,USA,2022.0,76657.2488844403,6452.2,9.19
United States,USA,2023.0,81032.262117545,4375.01,5.71
United States,USA,2024.0,84534.0407841548,3501.78,4.32
